date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
2/10/2023,Alphabet Cl A,GOOGL,JEFFERIES,BRENT THILL,,BUY                          ,,130
2/10/2023,Tesla Inc,TSLA,CFRA,GARRETT NELSON,BUY,STRONG BUY,250,210
2/14/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,,OVERWEIGHT                   ,,275
2/17/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,EQUALWEIGHT,EQUALWEIGHT,,150
2/23/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,                             ,                             ,220,250
2/23/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,,OVERWEIGHT                   ,,220
2/24/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,                             ,EQUAL WEIGHT                 ,150,190
2/27/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,NOT FOUND,NOT FOUND,,                  
3/2/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,,EQUAL WEIGHT                 ,,190
3/2/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,BUY,BUY,,250
3/2/2023,Tesla Inc,TSLA,JPMORGAN,RYAN BRINKMAN,UNDERWEIGHT,UNDERWEIGHT,,                  
3/2/2023,Tesla Inc,TSLA,,DANIEL IVES,Outperform                   ,Outperform                   ,225,225
3/2/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,                  
3/3/2023,Tesla Inc,TSLA,DAIWA,JAIRAM NATHAN,                             ,OUTPERFORM                   ,200,218
3/3/2023,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,                             ,BUY                          ,180,230
3/8/2023,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,Buy                          ,Buy                          ,115,115
3/16/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,Market Outperform            ,Market Outperform            ,132,132
3/21/2023,Alphabet Cl A,GOOGL,,MARK KELLEY,Buy                          ,Buy                          ,130,130
3/21/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,,OVERWEIGHT                   ,,220
3/27/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,NEUTRAL,NEUTRAL,,192
3/27/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,OVERWEIGHT,OVERWEIGHT,,275
3/29/2023,Tesla Inc,TSLA,,DANIEL IVES,Outperform                   ,Outperform                   ,225,225
3/30/2023,Alphabet Cl A,GOOGL,CREDIT SUISSE,STEPHEN JU,,OUTPERFORM                   ,,136
3/31/2023,Alphabet Cl A,GOOGL,PIPER SANDLER,THOMAS CHAMPION,Outperform                   ,Outperform                   ,117,117
3/31/2023,Tesla Inc,TSLA,CFRA,GARRETT NELSON,STRONG BUY,BUY),250,275
4/3/2023,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,Buy                          ,Buy                          ,115,115
4/3/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,NEUTRAL,NEUTRAL,,192
4/3/2023,Tesla Inc,TSLA,TD COWEN,JEFFREY OSBORNE,,MARKET PERFORM               ,,170
4/3/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,,BUY                          ,,225
4/3/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,,BUY                          ,,250
4/3/2023,Tesla Inc,TSLA,BAIRD,BEN KALLO,,OUTPERFORM                   ,,252
4/6/2023,Alphabet Cl A,GOOGL,UBS,LLOYD WALMSLEY,                             ,BUY                          ,120,123
4/10/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,IN LINE,IN LINE,,220
4/17/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,,OVERWEIGHT                   ,,230
4/19/2023,Tesla Inc,TSLA,RBC,JOSEPH SPAK,                             ,OUTPERFORM                   ,223,217
4/19/2023,Tesla Inc,TSLA,CANACCORD,GEORGE GIANARIKAS,                             ,BUY                          ,275,257
4/20/2023,Alphabet Cl A,GOOGL,BERNSTEIN,MARK SHMULIK,                             ,OUTPERFORM                   ,130,125
4/20/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,                             ,NEUTRAL                      ,192,175
4/20/2023,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,250,230
4/20/2023,Tesla Inc,TSLA,,DANIEL IVES,Outperform                   ,Outperform                   ,215,215
4/20/2023,Tesla Inc,TSLA,JPMORGAN,RYAN BRINKMAN,                             ,UNDERWEIGHT                  ,120,115
4/20/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,BUY,BUY,250,200
4/20/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,                             ,EQUAL WEIGHT                 ,190,170
4/20/2023,Tesla Inc,TSLA,,JEFFREY OSBORNE,Market Perform               ,Market Perform               ,150,150
4/20/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,                             ,OVERWEIGHT                   ,220,200
4/20/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,                             ,BUY                          ,210,185
4/21/2023,Tesla Inc,TSLA,TRUIST,WILLIAM STEIN,,                             ,,                  
4/21/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,                             ,OVERWEIGHT                   ,230,220
4/24/2023,Tesla Inc,TSLA,DAIWA,JAIRAM NATHAN,,OUTPERFORM                   ,,185
4/25/2023,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,BUY,HOLD,230,185
4/26/2023,Alphabet Cl A,GOOGL,EVERCORE,MARK MAHANEY,                             ,OUTPERFORM                   ,125,130
4/26/2023,Alphabet Cl A,GOOGL,CREDIT SUISSE,STEPHEN JU,                             ,OUTPERFORM                   ,136,135
4/26/2023,Alphabet Cl A,GOOGL,TRUIST,YOUSSEF SQUALI,                             ,BUY                          ,120,122
4/26/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,                             ,OVERWEIGHT                   ,135,140
4/26/2023,Alphabet Cl A,GOOGL,WOLFE,DEEPAK MATHIVANAN,                             ,OUTPERFORM                   ,120,130
4/26/2023,Alphabet Cl A,GOOGL,CITI,RONALD JOSEY,Buy,Buy,130,130
4/26/2023,Alphabet Cl A,GOOGL,BAIRD,COLIN SEBASTIAN,                             ,OUTPERFORM                   ,120,123
4/26/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,Buy,Buy,128,128
5/11/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,Market Outperform,Market Outp,132,132
5/12/2023,Tesla Inc,TSLA,,DANIEL IVES,Outperform,Outperform,215,215
5/15/2023,Alphabet Cl A,GOOGL,,ROB SANDERSON,Buy,Hold,125,125
5/17/2023,Tesla Inc,TSLA,CFRA,GARRETT NELSON,STRONGBUY,STRONGBUY,,250
5/18/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,BUY,BUY,,215
5/23/2023,Alphabet Cl A,GOOGL,JEFFERIES,BRENT THILL,                             ,BUY                          ,130,150
5/24/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,Market Outperform            ,Market Outperform            ,132,132
5/26/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,183
6/5/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,Market Outperform            ,Market Outperform            ,132,132
6/5/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,Neutral,Neutral,215,215
6/6/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,Overweight                   ,Overweight                   ,220,220
6/9/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,Outperform,Outperform,300,300
6/9/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,280
6/15/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,Outperform,Outperform,300,300
6/21/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,,                             ,,                  
6/22/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,Overweight,Equal Weight,250,250
6/23/2023,Tesla Inc,TSLA,DZ BANK,MATTHIAS VOLKERT,Buy,Sell,210,210
6/23/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,BUY,NEUTRAL,248,185
6/26/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,,BUY                          ,,230
6/27/2023,Alphabet Cl A,GOOGL,BERNSTEIN,MARK SHMULIK,Outperform,Market Perform,125,125
7/3/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,,NEUTRAL                      ,,275
7/3/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,Neutral,Neutral,215,215
7/3/2023,Tesla Inc,TSLA,JPMORGAN,RYAN BRINKMAN,UNDERWEIGHT,UNDERWEIGHT,,120
7/3/2023,Tesla Inc,TSLA,CANACCORD,GEORGE GIANARIKAS,,BUY                          ,,293
7/3/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,Outperform,Outperform,300,300
7/3/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,,BUY                          ,,270
7/5/2023,Alphabet Cl A,GOOGL,PIPER SANDLER,THOMAS CHAMPION,                             ,OVERWEIGHT                   ,128,140
7/5/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,Buy,Buy,128,128
7/5/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,Equal Weight,Equal Weight,250,250
7/6/2023,Tesla Inc,TSLA,CFRA,GARRETT NELSON,                             ,BUY                          ,300,310
7/7/2023,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,Buy,Buy,300,300
7/10/2023,Alphabet Cl A,GOOGL,WOLFE,DEEPAK MATHIVANAN,,OUTPERFORM                   ,,140
7/10/2023,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,HOLD,HOLD,,265
7/12/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,340
7/12/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,                             ,NEUTRAL                      ,215,278
7/13/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,                             ,OVERWEIGHT                   ,140,150
7/14/2023,Alphabet Cl A,GOOGL,,IVAN FEINSETH,Strong Buy,Strong Buy,172,172
7/17/2023,Alphabet Cl A,GOOGL,CREDIT SUISSE,STEPHEN JU,,OUTPERFORM                   ,,150
7/17/2023,Alphabet Cl A,GOOGL,GOLDMAN SACHS,ERIC SHERIDAN,,BUY                          ,,140
7/17/2023,Tesla Inc,TSLA,BAIRD,BEN KALLO,,OUTPERFORM                   ,,300
7/17/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,Outperform,Outperform,300,300
7/18/2023,Alphabet Cl A,GOOGL,KEYBANK,JUSTIN PATTERSON,                             ,OVERWEIGHT                   ,122,140
7/19/2023,Tesla Inc,TSLA,CFRA,GARRETT NELSON,                             ,BUY                          ,310,325
7/20/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,                             ,BUY                          ,128,142
7/20/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,Equal Weight,Equal Weight,260,260
7/20/2023,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,300,330
7/20/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,Equal Weight,Equal Weight,265,265
7/20/2023,Tesla Inc,TSLA,TRUIST,WILLIAM STEIN,                             ,HOLD                         ,240,254
7/20/2023,Tesla Inc,TSLA,,JEFFREY OSBORNE,Market Perform,Market Perform,200,200
7/20/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,BUY,BUY,270,300
7/21/2023,Alphabet Cl A,GOOGL,,SCOTT DEVITT,Buy,Buy,135,135
7/21/2023,Alphabet Cl A,GOOGL,BAIRD,COLIN SEBASTIAN,                             ,OUTPERFORM                   ,123,130
7/21/2023,Alphabet Cl A,GOOGL,STIFEL,MARK KELLEY,                             ,BUY                          ,130,135
7/24/2023,Tesla Inc,TSLA,UBS,PATRICK HUMMEL,BUY,NEUTRAL,,220
7/25/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,Equal Weight,Equal Weight,250,250
7/26/2023,Alphabet Cl A,GOOGL,GOLDMAN SACHS,ERIC SHERIDAN,                             ,BUY                          ,140,152
7/26/2023,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,                             ,BUY                          ,115,140
7/26/2023,Alphabet Cl A,GOOGL,CREDIT SUISSE,STEPHEN JU,                             ,OUTPERFORM                   ,150,151
7/26/2023,Alphabet Cl A,GOOGL,CITI,RONALD JOSEY,                             ,BUY                          ,130,153
7/26/2023,Alphabet Cl A,GOOGL,JEFFERIES,BRENT THILL,                             ,BUY                          ,150,165
7/26/2023,Alphabet Cl A,GOOGL,CANACCORD,MARIA RIPPS,                             ,BUY                          ,150,155
7/26/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,                             ,OUTPERFORM                   ,132,138
7/26/2023,Alphabet Cl A,GOOGL,BARCLAYS,ROSS SANDLER,                             ,OVERWEIGHT                   ,160,200
7/26/2023,Alphabet Cl A,GOOGL,WOLFE,DEEPAK MATHIVANAN,                             ,OUTPERFORM                   ,140,150
7/26/2023,Alphabet Cl A,GOOGL,JPMORGAN,DOUG ANMUTH,                             ,OVERWEIGHT                   ,121,150
7/26/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,                             ,OVERWEIGHT                   ,150,155
7/26/2023,Alphabet Cl A,GOOGL,ROSENBLATT,BARTON CROCKETT,                             ,BUY                          ,132,163
7/26/2023,Alphabet Cl A,GOOGL,SUSQUEHANNA,SHYAM PATIL,                             ,POSITIVE                     ,120,150
7/26/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,                             ,BUY                          ,142,146
7/26/2023,Alphabet Cl A,GOOGL,KEYBANK,JUSTIN PATTERSON,                             ,OVERWEIGHT                   ,140,145
7/26/2023,Alphabet Cl A,GOOGL,EVERCORE,MARK MAHANEY,                             ,OUTPERFORM                   ,130,160
7/26/2023,Alphabet Cl A,GOOGL,BAIRD,COLIN SEBASTIAN,                             ,OUTPERFORM                   ,130,140
7/26/2023,Alphabet Cl A,GOOGL,RBC,BRAD ERICKSON,                             ,OUTPERFORM                   ,145,155
7/26/2023,Alphabet Cl A,GOOGL,TRUIST,YOUSSEF SQUALI,                             ,BUY                          ,122,160
8/11/2023,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,Buy,Buy,140,140
8/22/2023,Tesla Inc,TSLA,BAIRD,BEN KALLO,,OUTPERFORM                   ,,300
8/29/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,                             ,BUY                          ,142,146
8/30/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,Market Outperform,Market Outp,138,138
8/31/2023,Alphabet Cl A,GOOGL,SUSQUEHANNA,SHYAM PATIL,Positive,Positive,150,150
9/7/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,UNDERWEIGHT,EQUAL WEIGHT,,                  
9/12/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,HOLD,BUY,,                  
9/13/2023,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,Buy,Buy,140,140
9/13/2023,Tesla Inc,TSLA,UBS,JOSEPH SPAK,NEUTRAL,NEUTRAL,,                  
9/13/2023,Tesla Inc,TSLA,,PATRICK HUMMEL,Neutral                      ,Neutral                      ,290,290
9/15/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,,                             ,,400
9/18/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,Neutral,Neutral,275,275
9/21/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,350
9/22/2023,Tesla Inc,TSLA,BARCLAYS,DAN LEVY,Equal Weight,Equal Weight,260,260
9/27/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,                             ,BUY                          ,300,285
9/28/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,Overweight,Overweight,400,400
9/29/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,Overweight,Overweight,300,300
9/29/2023,Tesla Inc,TSLA,CANACCORD,GEORGE GIANARIKAS,Buy,Buy,293,293
10/2/2023,Tesla Inc,TSLA,CFRA,GARRETT NELSON,,BUY                          ,,310
10/3/2023,Alphabet Cl A,GOOGL,PIPER SANDLER,THOMAS CHAMPION,                             ,OVERWEIGHT                   ,148,147
10/3/2023,Tesla Inc,TSLA,TRUIST,WILLIAM STEIN,                             ,HOLD                         ,254,243
10/3/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,                             ,NEUTRAL                      ,265,252
10/4/2023,Alphabet Cl A,GOOGL,GOLDMAN SACHS,ERIC SHERIDAN,                             ,BUY                          ,152,154
10/4/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,                             ,BUY                          ,142,146
10/9/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,,EQUAL WEIGHT                 ,,260
10/9/2023,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,HOLD,HOLD,,250
10/10/2023,Tesla Inc,TSLA,UBS,JOSEPH SPAK,                             ,NEUTRAL                      ,290,266
10/11/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,Neutral,Neutral,271,271
10/13/2023,Alphabet Cl A,GOOGL,KEYBANK,JUSTIN PATTERSON,                             ,OVERWEIGHT                   ,145,155
10/16/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,290
10/17/2023,Alphabet Cl A,GOOGL,UBS,LLOYD WALMSLEY,                             ,NEUTRAL                      ,138,150
10/19/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,                             ,OUTPERFORM                   ,350,310
10/19/2023,Tesla Inc,TSLA,,CRAIG IRWIN,Neutral,Neutral,85,85
10/19/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,Equal Weight,Equal Weight,250,250
10/19/2023,Tesla Inc,TSLA,TRUIST,WILLIAM STEIN,                             ,HOLD                         ,243,226
10/19/2023,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,330,310
10/19/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,                             ,OVERWEIGHT                   ,400,380
10/19/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,                             ,NEUTRAL                      ,271,255
